subject,predicate,object
http://dbpedia.org/ontology/Place,http://www.w3.org/2002/07/owl#equivalentClass,https://www.wikidata.org/wiki/Q17334923
http://dbpedia.org/ontology/Publisher,http://www.w3.org/2002/07/owl#equivalentClass,https://www.wikidata.org/wiki/Q2085381
http://dbpedia.org/ontology/Genre,http://www.w3.org/2002/07/owl#equivalentClass,https://www.wikidata.org/wiki/Q483394
http://dbpedia.org/ontology/Type,http://www.w3.org/2002/07/owl#equivalentClass,https://www.wikidata.org/wiki/Q217594
http://dbpedia.org/ontology/Agglomeration,http://www.w3.org/2002/07/owl#equivalentClass,https://www.wikidata.org/wiki/Q393217
http://dbpedia.org/ontology/AmateurBoxer,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.wikidata.org/wiki/Q2066131
http://dbpedia.org/ontology/AmericanFootballCoach,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.wikidata.org/wiki/Q41583
http://dbpedia.org/ontology/AmericanFootballTeam,http://www.w3.org/2002/07/owl#equivalentClass,https://www.wikidata.org/wiki/Q17156793
http://dbpedia.org/ontology/AmusementParkAttraction,http://www.w3.org/2004/02/skos/core#broader,https://www.wikidata.org/wiki/Q1144661
http://dbpedia.org/ontology/ArcherPlayer,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.wikidata.org/wiki/Q2066131
http://dbpedia.org/ontology/ArchitecturalStructure,http://www.w3.org/2002/07/owl#equivalentClass,https://www.wikidata.org/wiki/Q811979
http://dbpedia.org/ontology/Arena,http://www.w3.org/2002/07/owl#equivalentClass,https://www.wikidata.org/wiki/Q641226
http://dbpedia.org/ontology/Aristocrat,http://www.w3.org/2002/07/owl#equivalentClass,https://www.wikidata.org/wiki/Q2478141
http://dbpedia.org/ontology/Arrondissement,http://www.w3.org/2002/07/owl#equivalentClass,https://www.wikidata.org/wiki/Q30059
http://dbpedia.org/ontology/ArtisticGenre,http://www.w3.org/2002/07/owl#equivalentClass,https://www.wikidata.org/wiki/Q1792379
http://dbpedia.org/ontology/Athlete,http://www.w3.org/2002/07/owl#equivalentClass,https://www.wikidata.org/wiki/Q2066131
http://dbpedia.org/ontology/AthleticsPlayer,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.wikidata.org/wiki/Q2066131
http://dbpedia.org/ontology/Attack,http://www.w3.org/2002/07/owl#equivalentClass,https://www.wikidata.org/wiki/Q81672
http://dbpedia.org/ontology/AustralianFootballTeam,http://www.w3.org/2002/07/owl#equivalentClass,https://www.wikidata.org/wiki/Q17374546
http://dbpedia.org/ontology/AutoRacingLeague,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.wikidata.org/wiki/Q500834
http://dbpedia.org/ontology/BackScene,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.wikidata.org/wiki/Q2972150
http://dbpedia.org/ontology/BadmintonPlayer,http://www.w3.org/2002/07/owl#equivalentClass,https://www.wikidata.org/wiki/Q13141064
http://dbpedia.org/ontology/BaseballSeason,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.wikidata.org/wiki/Q1539532
http://dbpedia.org/ontology/BaseballTeam,http://www.w3.org/2002/07/owl#equivalentClass,https://www.wikidata.org/wiki/Q13027888
http://dbpedia.org/ontology/BasketballLeague,http://www.w3.org/2002/07/owl#equivalentClass,https://www.wikidata.org/wiki/Q18536323
http://dbpedia.org/ontology/BasketballTeam,http://www.w3.org/2002/07/owl#equivalentClass,https://www.wikidata.org/wiki/Q13393265
http://dbpedia.org/ontology/BeachVolleyballPlayer,http://www.w3.org/2002/07/owl#equivalentClass,https://www.wikidata.org/wiki/Q17361156
http://dbpedia.org/ontology/BeautyQueen,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.wikidata.org/wiki/Property:P1346
http://dbpedia.org/ontology/Biathlete,http://www.w3.org/2002/07/owl#equivalentClass,https://www.wikidata.org/wiki/Q16029547
http://dbpedia.org/ontology/BiologicalDatabase,http://www.w3.org/2002/07/owl#equivalentClass,https://www.wikidata.org/wiki/Q4117139
http://dbpedia.org/ontology/BloodVessel,http://www.w3.org/2002/07/owl#equivalentClass,https://www.wikidata.org/wiki/Q988343
http://dbpedia.org/ontology/BobsleighAthlete,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.wikidata.org/wiki/Q2066131
http://dbpedia.org/ontology/BowlingLeague,http://www.w3.org/2002/07/owl#equivalentClass,https://www.wikidata.org/wiki/Q4951251
http://dbpedia.org/ontology/Boxer,http://www.w3.org/2002/07/owl#equivalentClass,https://www.wikidata.org/wiki/Q11338576
http://dbpedia.org/ontology/BoxingCategory,http://www.w3.org/2002/07/owl#equivalentClass,https://www.wikidata.org/wiki/Q1326107
http://dbpedia.org/ontology/BoxingLeague,http://www.w3.org/2000/01/rdf-schema#subClassOf,https://www.wikidata.org/wiki/Q500834
http://dbpedia.org/ontology/BoxingStyle,http://www.w3.org/2004/02/skos/core#broader,https://www.wikidata.org/wiki/Q32112
http://dbpedia.org/ontology/BullFighter,http://www.w3.org/2002/07/owl#equivalentClass,https://www.wikidata.org/wiki/Q3419806
http://dbpedia.org/ontology/BusCompany,http://www.w3.org/2002/07/owl#equivalentClass,https://www.wikidata.org/wiki/Q10438042
http://dbpedia.org/ontology/BusinessPerson,http://www.w3.org/2002/07/owl#equivalentClass,https://www.wikidata.org/wiki/Q43845
http://dbpedia.org/ontology/CanadianFootballPlayer,http://www.w3.org/2002/07/owl#equivalentClass,https://www.wikidata.org/wiki/Q19841381
http://dbpedia.org/ontology/CanadianFootballTeam,http://www.w3.org/2002/07/owl#equivalentClass,https://www.wikidata.org/wiki/Q17271186
